,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
0,3206610569,3206610590,3206610618,4396671121,4396689191,4548543834,4548543829,4548543842,1126135571,1126135404,1126135607,2397701001,1126063800,1126063813,1126063836,729748384,1177600221,1177600097,1177600380,1177600494,1177600341,1177600058,2394472397,28814185,685561759,3265606062,1171125734,1171126072,540232037,2655758412,2402267783,674937444,4819864268,1671647384,28814168,2958443341,540225175,2957600747,700138897,700138893,700138841,1593611097,753688481,540240975,1188130450,1183227803,540240876,3929317202,753688541,4720048660,3929317200,753631826,540240860,2669872593,787970585,1671647086,787970578,3402507804,540240815,1671647066,540240786,691739640,540240744,1156375722,1156375702,1156375721,4538259140,691753180,691739449,691739456,514339597,529943165,593876394,1156704258,2396085353,593876393,1713858737,3054458690,593876397,1466717448,1561313112,1466717432,3416161744,1343124366,1343124364,4227857032,1343124347,1466717424,1466717400,1466717397,471928321,1059528964,514348977,1227905557,514362287,3224232157,1466733263,1179007453,843911953,1466733255,4539780662,906579485,1198751402,1198751446,3220997104,601359758,446215714,747802683,747802651,2154071754,477932892,2154071713,747805411,747805398,514360068,514360100,3336429368,3404643977,3404643969,3224232104,799257395,799257146,799257209,1211544194,1211544217,1741249627,799257197,563895355,1741249559
1,1719034391,1719034386,4224609848,1132167607,1132167595,1132167560,1132167614,1719034410,1719034411,539585283,539585284,539585286,518860141,1651431239,1457474605,518861955,527980273,944024477,518861976,539383403,5428578520,944024428,955713001,1122485017,4543607652,955712970,518860111,961477161,4516652171,518860209,1036326232,1036326143,518860213,518860030,792633343,792683892,792633338,792683897,792633309,792633335,792683979,792633298,5426622807,792691411,1741249535,1201381059,1137945368,563895355,1741249559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,619258323,532159053,2214355635,28818249,1180413997,2935040513,4683586666,914437767,1654044434,28814403,2906810012,532197715,619350217,28814396,532185335,282539384,2905535081,28814385,2310030426,282539386,28814383,1415940980,532246781,1446139911,528184298,518878482,528184304,518878436,1367873526,676796477,2385002755,1512683283,296594913,538449982,538450003,564142809,2915609261,528171632,597334941,528143695,706241447,766871545,706241374,2962378213,1059497983,706241349,564137044,1787038176,1371072379,539384064,3210881362,528150905,528143700,1787038135,1132167580,528143702,2396085351,564131138,539380293,539380291,539380290,539380287,539382974,4224609852,539380299,1132167607,4224609848,1719034386,1719034391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3125995551,3125995574,532204964,532197767,2795225744,1188942322,1188942320,532204835,1654044432,1654044434,914437767,4683586666,2935040513,1180413997,28818249,2214355635,532159053,619258323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1465710862,532145013,532145049,2810420208,1837284140,279197989,279191769,2893352674,610480200,535394389,2909350648,610480034,4433118764,4433118767,4433118763,4433118752,532159040,1976242644,2319361137,534455953,28818249,1180413997,2935040513,4683586666,914437767,1654044434,1654044432,532204835,1188942320,1188942322,2795225744,532197767,532204964,3125995574,3125995551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1465710862,532145013,532145049,2810420208,1837284140,279197989,1934286456,517325862,2979730132,517373425,2318123723,3423498807,279198004,1026320801,565592116,565592114,1798034587,1798034583,1026320856,2986406698,2986406697,2189498903,2189498900,565592112,282868881,2936589964,1694446818,1967075103,528656325,2984069359,492750201,2984069360,2119871966,518453031,528656549,514707755,528656681,513630569,513626094,1121917614,282539345,4177650638,2019805044,2019805047,2019805035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2019805035,2019805047,282539339,446215606,2977879938,518827287,518835796,2876069616,2876069611,508495354,1633659737,508561115,1638130702,4295703058,529603756,1923402200,528226197,508501330,508501281,529898435,2224715854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2224715854,529898435,508501281,508501276,508583177,446215642,28818196,28818195,529603748,2385046832,28809639,516432821,282539330,534677648,517822442,518838483,1024952818,518835749,2978833877,518824036,28814446,534664281,534664299,1154927299,518820587,28814435,906942866,28814433,534669123,534668848,906964728,906964593,528210617,28814416,528206166,534455945,534451362,28814411,282539389,28814409,1948047402,534455952,1962746878,532163580,532208584,532204835,1654044432,28814403,2906810012,532197715,619350217,28814396,532185335,282539384,2905535081,28814385,550187677,1182964361,760423233,1153191021,760426114,760426167,691817226,2402236731,550187766,550179531,691817229,550202413,691817314,2926440638,2926440640,2926440641,4459084288,2926440647,691766399,3402740271,3402740277,3402740279,736428853,736428867,3402740289,3402744599,736428880,1110394690,1110394595,266711173,3402744620,1156375721,4538259140,4538259141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,712414779,2295478120,978483808,712414768,712414785,712393118,2321591001,4737135404,978482766,700030274,2478668390,700030275,2498097407,700030261,700030282,3929270282,753688471,1671647136,1184218524,1184218510,753632056,540241011,787970504,3402507814,540241033,1671647066,540240786,691739640,540240744,1156375722,1156375702,1156375721,4538259140,4538259141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,712414779,2295491852,981274883,2294388123,981274878,2338397938,700060338,2619529287,700060337,1640335193,2931347198,540667773,1490124112,4891165722,687657110,687657109,1576810403,1575894094,538382466,538164572,1482078884,1973445846,1973445850,2760784326,279010029,1482079101,536758709,2760784337,2299940840,2760784339,537528682,1796903278,3169602525,581932326,3169602528,2441736437,2441736434,2441736430,2441736428,2441736411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3206610569,3206610590,3206610618,4396671121,4396689191,4548543834,4548543829,4548543842,1126135571,1126135404,1126135607,2397701001,1126063800,1126063813,1126063836,729748384,1177600221,1177600097,1177600380,1177600494,1177600341,1177600058,2394472397,28814185,2403648986,2403834988,2403810849,2403810625,2403810660,2403810658,2403899290,2403899291,1145575453,5086545883,1142412022,689190742,732089374,732089223,732089405,686751091,540225145,540225140,540225126,1973494928,1973494972,689190715,689190781,540225123,537623338,537625653,537623321,1631017508,689195068,2979854462,2979792988,537623306,28809447,1853820332,1853820324,690598927,540667776,28809449,1059462837,2299863995,279010029,1482079101,536758709,2760784337,2299940840,2760784339,537528682,1796903278,3169602525,581932326,3169602528,2441736437,2441736434,2441736430,2441736428,2441736411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
